#,ID,State,Fuel Type,Latitude,Longitude
0,33001,New York,Ethanol,40.692812,-73.464669
1,33025,New York,Ethanol,42.78657,-73.99777
2,33404,New York,Ethanol,40.715264,-73.393473
3,33847,New York,Ethanol,42.629724,-73.776371
4,33849,New York,Ethanol,41.23846,-73.701367
5,33851,New York,Ethanol,43.090389,-76.094177
6,34216,New York,Ethanol,41.194311,-73.880944
7,35430,New York,Ethanol,40.927328,-72.764756
8,35431,New York,Ethanol,41.146978,-73.933908
9,35432,New York,Ethanol,40.915415,-72.348133
10,35579,New York,Ethanol,40.691422,-73.477561
11,35614,New York,Ethanol,40.882367,-73.220888
12,35822,New York,Ethanol,42.715671,-73.81201
13,35824,New York,Ethanol,40.844044,-73.277126
14,35825,New York,Ethanol,42.601571,-73.792571
15,35828,New York,Ethanol,40.791371,-73.41706
16,35832,New York,Ethanol,40.977334,-73.695826
17,35835,New York,Ethanol,41.248483,-74.172356
18,35921,New York,Ethanol,40.76473,-73.022956
19,35983,New York,Ethanol,40.845379,-73.273087
20,35985,New York,Ethanol,40.657774,-73.649095
21,35986,New York,Ethanol,40.946992,-72.929752
22,36327,New York,Ethanol,40.939222,-72.289942
23,36328,New York,Ethanol,40.799926,-73.173583
24,38035,New York,Ethanol,40.836058,-72.744764
25,38500,New York,Ethanol,40.829874,-73.014191
26,39210,New York,Ethanol,40.9386342806941,-73.00980312540894
27,39211,New York,Ethanol,40.862041,-73.057233
28,40324,New York,Ethanol,40.753274,-73.703397
29,40325,New York,Ethanol,41.555133,-74.004052
30,40632,New York,Ethanol,40.904439,-73.787691
31,43572,New York,Ethanol,40.877161,-73.325083
32,47311,New York,Ethanol,40.868691,-72.873968
33,49313,New York,Ethanol,42.95248,-78.60289
34,51049,New York,Ethanol,40.933471,-73.05379
35,51184,New York,Ethanol,41.781388,-73.75974
36,53849,New York,Ethanol,40.858097,-73.082718
37,53852,New York,Ethanol,40.94611,-73.88224
38,61019,New York,Ethanol,42.231607,-75.916744
39,61254,New York,Ethanol,43.034675,-78.767652
40,61345,New York,Ethanol,40.66297896114984,-73.7921584550171
41,63286,New York,Ethanol,40.750129,-73.577703
42,63287,New York,Ethanol,40.756145,-73.644781
43,64232,New York,Ethanol,41.52584822712401,-74.12960444445802
44,68235,New York,Ethanol,40.945671,-72.823735
45,72095,New York,Ethanol,40.742087,-73.130834
46,79194,New York,Ethanol,40.653468,-73.886256
47,87863,New York,Ethanol,40.78558542800852,-72.97819467724611
48,87880,New York,Ethanol,41.526785,-74.071415
49,92019,New York,Ethanol,40.628163,-73.736919
50,92029,New York,Ethanol,41.527946,-73.891745
51,92042,New York,Ethanol,40.651271,-73.604003
52,98772,New York,Ethanol,43.021206,-78.962025
53,102587,New York,Ethanol,40.725681,-73.718546
54,118975,New York,Ethanol,40.714771,-73.859421
55,131994,New York,Ethanol,40.924056,-72.702553
56,147610,New York,Ethanol,40.657693,-73.691288
57,153525,New York,Ethanol,40.899291,-73.83258
58,153529,New York,Ethanol,40.70982236091535,-73.42908872991944
59,154155,New York,Ethanol,42.25130593057604,-73.76071773149108
60,165524,New York,Ethanol,42.15817501232186,-76.86408612435913
61,171119,New York,Ethanol,40.69842580456522,-73.40964389814758
62,186504,New York,Ethanol,43.069258,-77.298241
63,186505,New York,Ethanol,43.204602,-77.475167
64,186520,New York,Ethanol,40.692451,-73.566631
65,193304,New York,Ethanol,40.85062712853381,-73.36603926428222
66,196619,New York,Ethanol,40.60391,-74.058548
67,203058,New York,Ethanol,42.72459,-73.843493
68,219831,New York,Ethanol,40.718284717194,-73.4381340981759
69,224767,New York,Ethanol,41.592159,-73.919457
70,226850,New York,Ethanol,41.032781,-71.947876
71,236114,New York,Ethanol,41.15259135511587,-74.18958062957763
72,238009,New York,Ethanol,40.67424,-73.4913
73,250455,New York,Ethanol,40.78171,-73.24568
