#,ID,State,Fuel Type,Latitude,Longitude
0,35272,New York,Electric,40.814019,-73.608978
1,35562,New York,Electric,42.702424,-73.857693
2,35563,New York,Electric,42.969823,-73.773021
3,36532,New York,Electric,42.97167,-73.774182
4,41240,New York,Electric,40.867403,-73.906405
5,44174,New York,Electric,41.504105,-74.068916
6,44175,New York,Electric,41.504105,-74.068916
7,44176,New York,Electric,42.451285,-75.100333
8,44177,New York,Electric,42.451285,-75.100333
9,44178,New York,Electric,42.784867,-78.76558
10,44179,New York,Electric,42.784867,-78.76558
11,44180,New York,Electric,40.792986,-73.00827
12,44181,New York,Electric,40.792986,-73.00827
13,44182,New York,Electric,44.667361,-73.444894
14,44183,New York,Electric,44.667361,-73.444894
15,44184,New York,Electric,40.996358,-73.669405
16,44185,New York,Electric,40.996358,-73.669405
17,44186,New York,Electric,40.924758,-72.704752
18,44187,New York,Electric,40.924758,-72.704752
19,44188,New York,Electric,43.077581,-77.641934
20,44189,New York,Electric,43.077581,-77.641934
21,44190,New York,Electric,40.859886,-73.162067
22,44191,New York,Electric,40.859886,-73.162067
23,44192,New York,Electric,42.764517,-73.88522
24,44193,New York,Electric,42.764517,-73.88522
25,44198,New York,Electric,40.809865,-73.507761
26,44201,New York,Electric,40.670497,-73.717206
27,44202,New York,Electric,40.670497,-73.717206
28,44203,New York,Electric,40.809865,-73.507761
29,44204,New York,Electric,42.095812,-76.003703
30,44205,New York,Electric,42.095812,-76.003703
31,44206,New York,Electric,41.587383,-73.908392
32,44207,New York,Electric,41.587383,-73.908392
33,44208,New York,Electric,43.204065,-77.478237
34,44209,New York,Electric,43.204065,-77.478237
35,44212,New York,Electric,40.753954,-73.561974
36,44213,New York,Electric,40.753954,-73.561974
37,44216,New York,Electric,42.96275,-78.691132
38,44218,New York,Electric,41.289317,-73.835547
39,44219,New York,Electric,41.289317,-73.835547
40,44317,New York,Electric,42.676971,-73.787334
41,44318,New York,Electric,42.676971,-73.787334
42,44319,New York,Electric,42.979725,-78.797346
43,44321,New York,Electric,42.966894,-76.535879
44,44323,New York,Electric,40.758245,-73.776954
45,44324,New York,Electric,40.758245,-73.776954
46,44325,New York,Electric,41.071072,-73.950866
47,44326,New York,Electric,41.071072,-73.950866
48,44328,New York,Electric,40.636324,-74.019228
49,44329,New York,Electric,40.589167,-73.960707
50,44330,New York,Electric,40.589167,-73.960707
51,44331,New York,Electric,43.147147,-76.114274
52,44332,New York,Electric,43.147147,-76.114274
53,44333,New York,Electric,43.100001,-77.481422
54,44334,New York,Electric,43.100001,-77.481422
55,44336,New York,Electric,40.622268,-73.742699
56,44337,New York,Electric,40.622268,-73.742699
57,44338,New York,Electric,42.435042,-76.5088
58,44339,New York,Electric,42.435042,-76.5088
59,44342,New York,Electric,40.707242,-73.803844
60,44343,New York,Electric,40.707242,-73.803844
61,44344,New York,Electric,43.025044,-74.358103
62,44345,New York,Electric,43.025044,-74.358103
63,44346,New York,Electric,40.71693,-73.630152
64,44347,New York,Electric,40.71693,-73.630152
65,44348,New York,Electric,42.16246,-76.867435
66,44349,New York,Electric,42.16246,-76.867435
67,44350,New York,Electric,40.834455,-73.379693
68,44351,New York,Electric,40.834455,-73.379693
69,44352,New York,Electric,41.948965,-74.032033
70,44354,New York,Electric,43.128557,-78.696197
71,44355,New York,Electric,43.128557,-78.696197
72,44358,New York,Electric,41.40859,-74.413372
73,44359,New York,Electric,41.40859,-74.413372
74,44360,New York,Electric,40.919104,-73.776645
75,44361,New York,Electric,40.919104,-73.776645
76,47721,New York,Electric,40.816267,-73.625869
77,47722,New York,Electric,40.816267,-73.625869
78,49676,New York,Electric,43.216099,-77.73619
79,49678,New York,Electric,40.964447,-73.840117
80,49679,New York,Electric,40.964447,-73.840117
81,49932,New York,Electric,42.115661,-79.253776
82,49933,New York,Electric,42.115661,-79.253776
83,49938,New York,Electric,40.68117,-73.845621
84,49939,New York,Electric,40.68117,-73.845621
85,49941,New York,Electric,43.137476,-77.465214
86,51095,New York,Electric,42.677214,-73.847115
87,51537,New York,Electric,43.100494,-77.443485
88,52063,New York,Electric,41.069942,-72.43726
89,53442,New York,Electric,41.791563,-73.659717
90,53894,New York,Electric,43.456212,-73.383459
91,53975,New York,Electric,43.205714,-77.476722
92,53976,New York,Electric,43.110055,-75.293478
93,60739,New York,Electric,40.719618,-73.649987
94,61063,New York,Electric,43.152697,-77.603915
95,61065,New York,Electric,43.15395,-77.607471
96,61213,New York,Electric,43.256302,-77.606672
97,61760,New York,Electric,43.129935,-77.386788
98,62307,New York,Electric,43.16603,-77.591324
99,63140,New York,Electric,43.191311,-77.801933
100,63478,New York,Electric,43.101378,-78.941072
101,63479,New York,Electric,42.933441,-78.731633
102,63618,New York,Electric,41.237296,-74.379503
103,63643,New York,Electric,42.786617,-78.761212
104,63982,New York,Electric,42.418993,-76.867035
105,63988,New York,Electric,43.08779,-77.674413
106,64131,New York,Electric,42.745834,-73.813591
107,64140,New York,Electric,40.587162,-74.194747
108,64141,New York,Electric,40.91966,-73.051332
109,64705,New York,Electric,40.968038,-72.562787
110,64706,New York,Electric,40.948819,-72.582795
111,65270,New York,Electric,41.310212,-73.90544
112,65271,New York,Electric,41.075921,-73.865021
113,65273,New York,Electric,41.158553,-73.774212
114,65274,New York,Electric,41.034121,-73.766241
115,65275,New York,Electric,41.026867,-73.767674
116,65278,New York,Electric,41.031464,-73.769946
117,65281,New York,Electric,44.695363,-73.492162
118,65284,New York,Electric,41.505108,-73.982752
119,65287,New York,Electric,40.756892,-73.991771
120,65288,New York,Electric,40.621698,-74.02567
121,65296,New York,Electric,40.639469,-74.076912
122,65299,New York,Electric,42.115968,-79.220087
123,65302,New York,Electric,44.991526,-73.364194
124,65303,New York,Electric,40.657519,-73.581038
125,68579,New York,Electric,42.664671,-73.790463
126,70451,New York,Electric,43.185219,-76.242663
127,70452,New York,Electric,42.76943,-73.754611
128,70460,New York,Electric,43.185219,-76.242663
129,71024,New York,Electric,42.469481,-75.065723
130,72670,New York,Electric,40.7865204,-73.4521865
131,72907,New York,Electric,42.8121531,-73.9409169
132,72909,New York,Electric,42.724676,-73.7954479
133,72970,New York,Electric,42.638663,-73.857186
134,74631,New York,Electric,43.932998,-75.936638
135,74632,New York,Electric,42.916433,-77.300722
136,74648,New York,Electric,40.762442,-74.000055
137,75944,New York,Electric,43.08779,-77.674413
138,77665,New York,Electric,40.924144,-72.816045
139,78416,New York,Electric,40.79009,-73.130392
140,79175,New York,Electric,42.919517,-75.86605
141,80871,New York,Electric,43.203546,-77.661537
142,80873,New York,Electric,41.0437,-72.4568
143,81608,New York,Electric,43.099649,-77.897024
144,82260,New York,Electric,43.101839,-77.439452
145,82355,New York,Electric,43.181259,-76.256973
146,82545,New York,Electric,42.891613,-78.717862
147,85682,New York,Electric,41.980335,-73.990256
148,85949,New York,Electric,42.171859,-73.477728
149,85969,New York,Electric,40.755072,-73.892094
150,85970,New York,Electric,43.053474,-76.163547
151,86199,New York,Electric,42.678984,-73.782529
152,86200,New York,Electric,41.852574,-74.139946
153,86715,New York,Electric,42.099763,-75.935148
154,87725,New York,Electric,42.821089,-77.668047
155,87914,New York,Electric,40.802658,-73.316725
156,88340,New York,Electric,42.929429,-75.859296
157,88498,New York,Electric,43.69475,-73.985344
158,89914,New York,Electric,43.232936,-75.496866
159,91865,New York,Electric,43.18835,-76.2455
160,92004,New York,Electric,42.406807,-78.612777
161,92116,New York,Electric,43.235555,-77.061621
162,94576,New York,Electric,43.104334,-77.440979
163,94829,New York,Electric,41.416575,-73.624303
164,94830,New York,Electric,40.86334,-73.900066
165,94832,New York,Electric,40.702081,-73.977798
166,94835,New York,Electric,44.98745,-73.446421
167,94838,New York,Electric,43.319784,-76.698227
168,94841,New York,Electric,40.819753,-73.204309
169,94843,New York,Electric,42.634612,-76.178778
170,94845,New York,Electric,42.097747,-79.243142
171,94849,New York,Electric,42.9827,-76.34148
172,94851,New York,Electric,41.101628,-74.02813
173,94853,New York,Electric,40.911425,-73.779194
174,94855,New York,Electric,41.661091,-73.932448
175,94856,New York,Electric,41.682561,-73.78534
176,94859,New York,Electric,43.053998,-73.786901
177,94861,New York,Electric,40.630898,-74.168358
178,94867,New York,Electric,41.051099,-73.771738
179,94868,New York,Electric,42.07795,-75.639561
180,96646,New York,Electric,40.717717,-74.015049
181,98431,New York,Electric,42.858085,-73.762909
182,98674,New York,Electric,40.714723,-74.005143
183,98692,New York,Electric,40.729637,-73.615008
184,98836,New York,Electric,42.746772,-78.852481
185,99360,New York,Electric,42.930765,-75.38053
186,99500,New York,Electric,40.581432,-74.097694
187,99538,New York,Electric,40.910066,-73.124122
188,99950,New York,Electric,42.250834,-76.838332
189,102325,New York,Electric,42.710356,-73.819109
190,102326,New York,Electric,42.145542,-75.902081
191,102327,New York,Electric,40.721853,-73.956658
192,102328,New York,Electric,42.968675,-78.69568
193,102329,New York,Electric,41.825379,-73.770409
194,102330,New York,Electric,42.68869,-73.853254
195,102331,New York,Electric,41.941893,-74.027428
