#,ID,State,Fuel Type,Latitude,Longitude
0,1517,California,Electric,34.2483191527193,-118.3879713743439
1,1519,California,Electric,34.052542,-118.448504
2,1523,California,Electric,34.040539,-118.271387
3,1525,California,Electric,34.059133,-118.248589
4,1531,California,Electric,33.759802,-118.096665
5,1552,California,Electric,33.770508,-118.265628
6,1556,California,Electric,34.30309,-118.480505
7,1572,California,Electric,34.066801,-118.227605
8,1573,California,Electric,34.036777,-118.368841
9,1583,California,Electric,34.06872,-118.064
10,1589,California,Electric,34.039736,-118.236065
11,6355,California,Electric,32.89947,-117.243
12,6405,California,Electric,34.221665,-118.468371
13,6425,California,Electric,33.909914,-117.459053
14,6505,California,Electric,34.14762,-118.147111
15,6506,California,Electric,34.145138,-118.152655
16,6507,California,Electric,34.145119,-118.150133
17,6509,California,Electric,34.118433,-118.149597
18,7172,California,Electric,33.7637,-118.192
19,7184,California,Electric,33.94325,-118.403342
20,7192,California,Electric,34.2387162,-118.554686
21,7194,California,Electric,34.07122,-117.575
22,7195,California,Electric,34.228315,-119.170865
23,7196,California,Electric,33.824004,-116.543589
24,7197,California,Electric,37.700187,-121.876172
25,7206,California,Electric,34.0189,-117.38
26,7212,California,Electric,38.69005,-121.58889
27,7229,California,Electric,34.017081,-118.44704
28,7230,California,Electric,34.010021,-118.49583
29,7233,California,Electric,34.1564065,-118.4389655
30,7242,California,Electric,34.138717,-118.35904
31,7245,California,Electric,34.211366,-118.448346
32,7250,California,Electric,33.94756,-118.153806
33,7280,California,Electric,37.80619,-122.4152
34,7286,California,Electric,38.599693,-121.427045
35,14744,California,Propane,33.615471,-117.7076
36,14747,California,Propane,33.778977,-118.001197
37,14755,California,Propane,36.33042928891792,-119.2785736243286
38,14765,California,Propane,37.475136,-121.131276
39,14777,California,Propane,38.00326,-122.048376
40,14779,California,Propane,39.392957,-123.348474
41,14780,California,Propane,38.236513,-122.629384
42,14810,California,Propane,39.514701,-122.194928
43,15116,California,Propane,33.875777,-118.278709
44,15120,California,Propane,33.865219,-117.875765
45,15130,California,Propane,34.721923,-118.140984
46,15133,California,Propane,37.350869,-119.641645
47,15134,California,Propane,36.696968,-119.783754
48,15139,California,Propane,37.286649,-121.844374
49,15480,California,Propane,40.71896,-122.928227
50,15619,California,Propane,33.726848,-117.833643
51,15997,California,Propane,36.69898308269769,-121.6515856233482
52,16008,California,Propane,36.323778,-119.627095
53,18726,California,Propane,37.636804,-122.054223
54,18784,California,Propane,36.950158,-120.04964
55,20464,California,Propane,33.98873,-118.265792
56,20466,California,Propane,34.022744,-118.15702
57,20471,California,Propane,33.934865,-118.291148
58,20472,California,Propane,34.007712,-118.309261
59,20474,California,Propane,33.902505,-118.317844
60,20475,California,Propane,33.921786,-118.208987
61,20478,California,Propane,33.831062,-118.309614
62,20479,California,Propane,33.931502,-117.994114
63,20480,California,Propane,33.925537,-117.939756
64,20489,California,Propane,34.185844,-118.159075
65,20492,California,Propane,34.129189,-118.255612
66,20493,California,Propane,34.145236,-118.750299
67,20496,California,Propane,34.224858,-118.467553
68,20499,California,Propane,34.21136018967161,-118.3487506925903
69,20500,California,Propane,34.068602,-117.964315
70,20501,California,Propane,34.106326,-117.950079
