id,state,coordinates,fuel type
22617,CA,"[-117.107501, 32.754335]",E85
32583,CA,"[-117.251427, 33.127936]",E85
32584,CA,"[-118.465643, 34.053925]",E85
32585,CA,"[-117.364261, 33.189298]",E85
32954,CA,"[-121.999551, 38.01483]",E85
32979,CA,"[-122.110511, 37.666392]",E85
33028,CA,"[-119.349578, 36.239781]",E85
33503,CA,"[-121.364763, 38.660751]",E85
33509,CA,"[-121.2651, 38.781435]",E85
33654,CA,"[-121.409398, 38.49565]",E85
33655,CA,"[-121.409773, 38.549124]",E85
33659,CA,"[-121.290787, 38.707056]",E85
33660,CA,"[-121.390814, 38.424101]",E85
33930,CA,"[-121.50479, 38.637316]",E85
34223,CA,"[-121.3030116259643, 38.26858537103691]",E85
34271,CA,"[-121.367403, 38.409248]",E85
34272,CA,"[-121.466554, 38.576622]",E85
34288,CA,"[-122.069787, 38.251398]",E85
34306,CA,"[-121.729056, 38.675874]",E85
34806,CA,"[-121.268767, 38.61515]",E85
35027,CA,"[-117.25447, 33.841]",E85
35094,CA,"[-121.001394, 37.930846]",E85
35098,CA,"[-117.749148, 34.107553]",E85
35099,CA,"[-121.8923417718277, 37.36410150433162]",E85
35100,CA,"[-116.970545, 33.947057]",E85
35206,CA,"[-117.347685, 33.298722]",E85
35207,CA,"[-117.12411, 32.887271]",E85
35208,CA,"[-116.073153, 34.249661]",E85
35643,CA,"[-119.199978, 34.248013]",E85
35944,CA,"[-121.866073, 37.275418]",E85
35946,CA,"[-121.971472, 37.548161]",E85
35947,CA,"[-120.995017, 37.634058]",E85
35948,CA,"[-122.255662, 37.809238]",E85
35949,CA,"[-121.271717, 38.729838]",E85
36338,CA,"[-122.297049, 37.868431]",E85
36340,CA,"[-121.91311, 37.397641]",E85
36597,CA,"[-120.804838, 38.727849]",E85
36898,CA,"[-121.271654, 38.664253]",E85
36899,CA,"[-121.497922, 38.56337]",E85
36900,CA,"[-121.904646, 37.355675]",E85
38508,CA,"[-118.02793, 34.139765]",E85
39679,CA,"[-122.23455, 37.49413]",E85
40331,CA,"[-121.884519, 37.573022]",E85
41179,CA,"[-118.0761469269837, 33.90930280409452]",E85
43555,CA,"[-121.430328, 38.632294]",E85
46350,CA,"[-117.4119492, 33.92399216]",E85
47303,CA,"[-117.907484, 33.873803]",E85
48018,CA,"[-117.00619, 33.747042]",E85
48020,CA,"[-117.61148, 34.063139]",E85
48022,CA,"[-118.28712, 33.842435]",E85
49303,CA,"[-120.958232, 37.733193]",E85
50662,CA,"[-117.988723, 33.716025]",E85
51623,CA,"[-119.727819, 36.793557]",E85
51624,CA,"[-118.007228, 33.730415]",E85
51890,CA,"[-117.958637, 33.828596]",E85
52440,CA,"[-116.951153, 34.874372]",E85
52441,CA,"[-117.889673675146, 34.9527456521387]",E85
52509,CA,"[-118.478754, 34.303421]",E85
53650,CA,"[-117.178005, 33.555875]",E85
53652,CA,"[-117.209523, 33.130872]",E85
53654,CA,"[-117.243511, 33.59637]",E85
53815,CA,"[-117.890694, 34.925246]",E85
53816,CA,"[-117.25931, 33.220334]",E85
60320,CA,"[-121.731731, 38.540181]",E85
61249,CA,"[-122.106352, 37.666686]",E85
61250,CA,"[-118.168041, 33.84661]",E85
61251,CA,"[-118.099224, 33.832559]",E85
62318,CA,"[-121.084082, 37.707067]",E85
62784,CA,"[-120.536518, 34.723732]",E85
63191,CA,"[-122.406309, 37.748553]",E85
63192,CA,"[-117.043141, 32.746642]",E85
66369,CA,"[-117.056459, 33.992911]",E85
66370,CA,"[-117.993588, 33.803296]",E85
66371,CA,"[-117.669658, 34.062887]",E85
66372,CA,"[-116.951312, 32.804094]",E85
66373,CA,"[-117.651691, 34.093517]",E85
66374,CA,"[-117.98916, 33.746136]",E85
66375,CA,"[-117.670591, 34.095729]",E85
66376,CA,"[-117.920423, 33.638761]",E85
66377,CA,"[-117.112861, 32.68421]",E85
66378,CA,"[-116.917975, 32.812425]",E85
66379,CA,"[-117.829042, 33.888824]",E85
66380,CA,"[-116.500871, 33.947293]",E85
66381,CA,"[-117.009509, 32.803291]",E85
66383,CA,"[-119.78174, 36.707159]",E85
66384,CA,"[-121.345476, 38.596354]",E85
67644,CA,"[-120.664841, 35.484135]",E85
68016,CA,"[-121.549424, 38.591129]",E85
68017,CA,"[-117.88124, 33.910371]",E85
68536,CA,"[-117.308631807409, 33.314666031466]",E85
69027,CA,"[-122.2655026, 38.2356194]",E85
71429,CA,"[-118.163223, 33.97577]",E85
71430,CA,"[-117.884714, 33.751794]",E85
71431,CA,"[-117.786625, 33.863037]",E85
72366,CA,"[-120.420184, 34.92356]",E85
73448,CA,"[-117.14836, 32.8224]",E85
73449,CA,"[-117.651047, 33.878818]",E85
73450,CA,"[-117.941379, 33.858993]",E85
75010,CA,"[-119.853366, 36.793731]",E85
82134,CA,"[-117.817152, 33.891847]",E85
82135,CA,"[-117.223308, 33.184655]",E85
82136,CA,"[-118.073927, 34.103072]",E85
82137,CA,"[-117.9751789251312, 33.80994749880423]",E85
82138,CA,"[-118.060648, 33.969456]",E85
82139,CA,"[-117.929157, 33.745419]",E85
82140,CA,"[-117.885437, 33.703007]",E85
82141,CA,"[-117.851491, 33.748363]",E85
82142,CA,"[-117.294541, 34.091455]",E85
82143,CA,"[-116.580483, 34.046731]",E85
82144,CA,"[-118.18459, 33.930307]",E85
82145,CA,"[-118.360962, 33.889394]",E85
82146,CA,"[-117.452903, 34.121004]",E85
82147,CA,"[-116.975161, 32.794678]",E85
82148,CA,"[-117.039532, 32.604831]",E85
82149,CA,"[-116.885736, 33.92583]",E85
82452,CA,"[-117.975753, 33.84717]",E85
82453,CA,"[-117.171956, 32.878098]",E85
82459,CA,"[-115.552727, 32.77874]",E85
86093,CA,"[-121.967601, 38.363826]",E85
86950,CA,"[-118.400332, 34.0316]",E85
86951,CA,"[-116.869054, 33.0422]",E85
86952,CA,"[-117.331559, 34.135838]",E85
86953,CA,"[-117.938492, 34.055037]",E85
88299,CA,"[-117.124423, 32.917629]",E85
88303,CA,"[-120.69194, 35.629536]",E85
88304,CA,"[-117.468416, 33.946125]",E85
91895,CA,"[-117.350046, 33.884438]",E85
94949,CA,"[-117.711496, 33.525789]",E85
98630,CA,"[-117.403687, 33.935001]",E85
100221,CA,"[-117.988709, 33.70876]",E85
102569,CA,"[-122.416523, 37.629234]",E85
104068,CA,"[-117.959343, 33.828547]",E85
104070,CA,"[-117.065017, 32.601413]",E85
104071,CA,"[-117.308586, 34.051849]",E85
104072,CA,"[-117.537022, 33.844836]",E85
104073,CA,"[-117.873024, 33.603508]",E85
104074,CA,"[-117.601711, 33.878743]",E85
104075,CA,"[-117.919177, 33.635311]",E85
104076,CA,"[-117.284964, 33.048646]",E85
104077,CA,"[-117.488349, 34.098955]",E85
104078,CA,"[-117.417667, 34.106147]",E85
104079,CA,"[-117.435331, 34.091802]",E85
104080,CA,"[-119.790152, 36.842032]",E85
104081,CA,"[-117.906479, 33.859985]",E85
104084,CA,"[-117.315513, 34.423253]",E85
104085,CA,"[-117.110955, 32.583582]",E85
104088,CA,"[-121.707171, 37.715487]",E85
104089,CA,"[-118.193355, 33.79017]",E85
104090,CA,"[-117.1335048110809, 34.07029534463146]",E85
104091,CA,"[-117.180022, 33.598386]",E85
104092,CA,"[-118.502745, 34.257863]",E85
104093,CA,"[-117.592828, 34.069803]",E85
104094,CA,"[-118.42195, 34.245467]",E85
104095,CA,"[-117.752699, 34.072874]",E85
104096,CA,"[-117.295486, 33.9399]",E85
104097,CA,"[-117.296004, 34.102395]",E85
104098,CA,"[-117.287079, 34.13564]",E85
104099,CA,"[-117.27929, 34.080042]",E85
104100,CA,"[-117.299105, 34.103056]",E85
104101,CA,"[-117.164105, 32.722671]",E85
104102,CA,"[-117.080088, 32.576055]",E85
104105,CA,"[-117.670654, 34.106433]",E85
104106,CA,"[-118.474581, 34.221036]",E85
104107,CA,"[-118.431576, 34.179659]",E85
104108,CA,"[-117.352562, 34.470843]",E85
104109,CA,"[-117.870061, 33.997203]",E85
104111,CA,"[-118.006776, 33.763073]",E85
104112,CA,"[-118.045863, 33.964241]",E85
104113,CA,"[-118.27505, 33.779013]",E85
104114,CA,"[-117.976799, 33.90813]",E85
104115,CA,"[-117.215896, 34.525301]",E85
104116,CA,"[-116.91216, 33.925276]",E85
104117,CA,"[-118.117063, 33.917387]",E85
104118,CA,"[-118.028977, 33.78878]",E85
104119,CA,"[-117.387479, 33.953273]",E85
104120,CA,"[-121.886386, 37.309485]",E85
104121,CA,"[-117.869575, 33.726941]",E85
104122,CA,"[-117.162403, 33.518543]",E85
104123,CA,"[-118.347425, 33.825685]",E85
104124,CA,"[-117.204981, 32.854228]",E85
104125,CA,"[-117.886665, 34.009964]",E85
104126,CA,"[-116.276821, 33.706577]",E85
117873,CA,"[-116.936124, 32.808066]",E85
117874,CA,"[-117.088644, 33.128847]",E85
117875,CA,"[-117.279164, 34.116097]",E85
117878,CA,"[-116.216134, 33.740863]",E85
117879,CA,"[-116.98328, 32.83195]",E85
117880,CA,"[-117.558425, 33.928312]",E85
118696,CA,"[-117.061502, 32.58411]",E85
118697,CA,"[-117.933746, 34.090094]",E85
