id,state,coordinates,fuel type
33001,NY,"[-73.464669, 40.692812]",E85
33025,NY,"[-73.99777, 42.78657]",E85
33404,NY,"[-73.393473, 40.715264]",E85
33847,NY,"[-73.776371, 42.629724]",E85
33849,NY,"[-73.701367, 41.23846]",E85
33851,NY,"[-76.094177, 43.090389]",E85
34216,NY,"[-73.880944, 41.194311]",E85
35430,NY,"[-72.764756, 40.927328]",E85
35431,NY,"[-73.933908, 41.146978]",E85
35432,NY,"[-72.348133, 40.915415]",E85
35579,NY,"[-73.477561, 40.691422]",E85
35614,NY,"[-73.220888, 40.882367]",E85
35822,NY,"[-73.81201, 42.715671]",E85
35824,NY,"[-73.277126, 40.844044]",E85
35825,NY,"[-73.792571, 42.601571]",E85
35828,NY,"[-73.41706, 40.791371]",E85
35832,NY,"[-73.695826, 40.977334]",E85
35835,NY,"[-74.172356, 41.248483]",E85
35921,NY,"[-73.022956, 40.76473]",E85
35983,NY,"[-73.273087, 40.845379]",E85
35985,NY,"[-73.649095, 40.657774]",E85
35986,NY,"[-72.929752, 40.946992]",E85
36327,NY,"[-72.289942, 40.939222]",E85
36328,NY,"[-73.173583, 40.799926]",E85
38035,NY,"[-72.744764, 40.836058]",E85
38500,NY,"[-73.014191, 40.829874]",E85
39210,NY,"[-73.00980312540894, 40.9386342806941]",E85
39211,NY,"[-73.057233, 40.862041]",E85
40324,NY,"[-73.703397, 40.753274]",E85
40325,NY,"[-74.004052, 41.555133]",E85
40632,NY,"[-73.787691, 40.904439]",E85
43572,NY,"[-73.325083, 40.877161]",E85
47311,NY,"[-72.873968, 40.868691]",E85
49313,NY,"[-78.60289, 42.95248]",E85
51049,NY,"[-73.05379, 40.933471]",E85
51184,NY,"[-73.75974, 41.781388]",E85
53849,NY,"[-73.082718, 40.858097]",E85
53852,NY,"[-73.88224, 40.94611]",E85
61019,NY,"[-75.916744, 42.231607]",E85
61254,NY,"[-78.767652, 43.034675]",E85
61345,NY,"[-73.7921584550171, 40.66297896114984]",E85
63286,NY,"[-73.577703, 40.750129]",E85
63287,NY,"[-73.644781, 40.756145]",E85
64232,NY,"[-74.12960444445802, 41.52584822712401]",E85
68235,NY,"[-72.823735, 40.945671]",E85
72095,NY,"[-73.130834, 40.742087]",E85
79194,NY,"[-73.886256, 40.653468]",E85
87863,NY,"[-72.97819467724611, 40.78558542800852]",E85
87880,NY,"[-74.071415, 41.526785]",E85
92019,NY,"[-73.736919, 40.628163]",E85
92029,NY,"[-73.891745, 41.527946]",E85
92042,NY,"[-73.604003, 40.651271]",E85
98772,NY,"[-78.962025, 43.021206]",E85
102587,NY,"[-73.718546, 40.725681]",E85
118975,NY,"[-73.859421, 40.714771]",E85
131994,NY,"[-72.702553, 40.924056]",E85
147610,NY,"[-73.691288, 40.657693]",E85
153525,NY,"[-73.83258, 40.899291]",E85
153529,NY,"[-73.42908872991944, 40.70982236091535]",E85
154155,NY,"[-73.76071773149108, 42.25130593057604]",E85
165524,NY,"[-76.86408612435913, 42.15817501232186]",E85
171119,NY,"[-73.40964389814758, 40.69842580456522]",E85
186504,NY,"[-77.298241, 43.069258]",E85
186505,NY,"[-77.475167, 43.204602]",E85
186520,NY,"[-73.566631, 40.692451]",E85
193304,NY,"[-73.36603926428222, 40.85062712853381]",E85
196619,NY,"[-74.058548, 40.60391]",E85
203058,NY,"[-73.843493, 42.72459]",E85
219831,NY,"[-73.4381340981759, 40.718284717194]",E85
224767,NY,"[-73.919457, 41.592159]",E85
226850,NY,"[-71.947876, 41.032781]",E85
236114,NY,"[-74.18958062957763, 41.15259135511587]",E85
238009,NY,"[-73.4913, 40.67424]",E85
250455,NY,"[-73.24568, 40.78171]",E85
