id,state,coordinates,fuel type
29386,TX,"[-97.671997, 30.405517]",E85
29387,TX,"[-97.8206, 30.08711]",E85
29388,TX,"[-95.631595, 29.901435]",E85
29389,TX,"[-96.960994, 32.908539]",E85
29390,TX,"[-97.736095, 31.09186]",E85
29391,TX,"[-98.2779, 29.59841]",E85
29526,TX,"[-96.913355, 33.019582]",E85
29527,TX,"[-95.478687, 29.910386]",E85
29528,TX,"[-95.348747, 29.56012]",E85
29531,TX,"[-96.766536, 33.109871]",E85
29859,TX,"[-98.286337, 29.533886]",E85
29860,TX,"[-98.510735, 33.968572]",E85
30268,TX,"[-95.47788829608153, 30.33575087756532]",E85
30542,TX,"[-95.690172, 29.971127]",E85
31242,TX,"[-95.500207, 29.748789]",E85
31243,TX,"[-95.215458, 29.979267]",E85
31253,TX,"[-96.603857, 32.969032]",E85
31339,TX,"[-97.19022207379149, 32.85466819174684]",E85
31532,TX,"[-96.846261, 32.998094]",E85
31533,TX,"[-99.474439, 27.608103]",E85
31534,TX,"[-98.286279, 26.197583]",E85
31729,TX,"[-97.35227679895019, 32.56433483638369]",E85
31952,TX,"[-97.8631, 30.01448]",E85
32106,TX,"[-95.04153, 29.507516]",E85
32372,TX,"[-97.117599, 32.607189]",E85
33067,TX,"[-95.673501, 29.957225]",E85
33068,TX,"[-95.531975, 29.785945]",E85
33822,TX,"[-95.516794, 30.075231]",E85
34827,TX,"[-98.409264, 29.850858]",E85
35725,TX,"[-98.112073, 29.694817]",E85
35931,TX,"[-98.396182, 29.510755]",E85
35993,TX,"[-97.306572, 30.109919]",E85
36330,TX,"[-99.141554, 30.048871]",E85
36331,TX,"[-97.917036, 29.881596]",E85
36883,TX,"[-95.566689, 30.222641]",E85
36975,TX,"[-98.709832, 29.496782]",E85
40640,TX,"[-97.353836, 31.102411]",E85
41199,TX,"[-97.415679, 27.693267]",E85
43118,TX,"[-98.575667, 29.405667]",E85
43735,TX,"[-97.084959, 33.192607]",E85
43736,TX,"[-106.266965, 31.77693]",E85
44654,TX,"[-98.595864, 29.574703]",E85
48026,TX,"[-98.734847, 29.781422]",E85
48576,TX,"[-98.717532, 29.52423]",E85
48956,TX,"[-97.771207, 30.433396]",E85
48957,TX,"[-95.544021, 29.737028]",E85
49316,TX,"[-95.6836863563446, 29.89582361306458]",E85
49317,TX,"[-96.88639, 33.191769]",E85
49318,TX,"[-97.270226, 33.029031]",E85
50351,TX,"[-95.506893, 30.314088]",E85
50353,TX,"[-95.09716, 29.4913]",E85
50356,TX,"[-95.251458, 30.105206]",E85
50358,TX,"[-95.505586, 30.230708]",E85
50659,TX,"[-95.536721, 29.538952]",E85
53791,TX,"[-96.898601, 33.220347]",E85
53792,TX,"[-97.088055, 31.5991]",E85
53793,TX,"[-97.81735, 30.537892]",E85
53794,TX,"[-95.521645, 30.228025]",E85
53795,TX,"[-95.448188, 30.35003]",E85
53796,TX,"[-95.634713, 30.004437]",E85
53797,TX,"[-106.315541, 31.677906]",E85
53798,TX,"[-97.174541, 31.458038]",E85
53800,TX,"[-95.58628002460631, 30.01497335459145]",E85
53801,TX,"[-95.143399, 29.814603]",E85
53802,TX,"[-99.137849, 30.049195]",E85
53803,TX,"[-98.179602, 31.055795]",E85
53804,TX,"[-95.103588, 30.814409]",E85
53805,TX,"[-95.089042, 29.373097]",E85
53806,TX,"[-95.46608, 30.051333]",E85
53807,TX,"[-95.542776, 30.426187]",E85
61665,TX,"[-95.552808, 30.13183]",E85
61906,TX,"[-97.613705, 30.369422]",E85
62537,TX,"[-96.674939, 33.118019]",E85
62811,TX,"[-96.665491, 32.842365]",E85
62812,TX,"[-96.873905, 32.857963]",E85
63093,TX,"[-98.143641, 28.487082]",E85
