id,state,coordinates,fuel type
35272,NY,"[-73.608978, 40.814019]",ELEC
35562,NY,"[-73.857693, 42.702424]",ELEC
35563,NY,"[-73.773021, 42.969823]",ELEC
36532,NY,"[-73.774182, 42.97167]",ELEC
41240,NY,"[-73.906405, 40.867403]",ELEC
44174,NY,"[-74.068916, 41.504105]",ELEC
44175,NY,"[-74.068916, 41.504105]",ELEC
44176,NY,"[-75.100333, 42.451285]",ELEC
44177,NY,"[-75.100333, 42.451285]",ELEC
44178,NY,"[-78.76558, 42.784867]",ELEC
44179,NY,"[-78.76558, 42.784867]",ELEC
44180,NY,"[-73.00827, 40.792986]",ELEC
44181,NY,"[-73.00827, 40.792986]",ELEC
44182,NY,"[-73.444894, 44.667361]",ELEC
44183,NY,"[-73.444894, 44.667361]",ELEC
44184,NY,"[-73.669405, 40.996358]",ELEC
44185,NY,"[-73.669405, 40.996358]",ELEC
44186,NY,"[-72.704752, 40.924758]",ELEC
44187,NY,"[-72.704752, 40.924758]",ELEC
44188,NY,"[-77.641934, 43.077581]",ELEC
44189,NY,"[-77.641934, 43.077581]",ELEC
44190,NY,"[-73.162067, 40.859886]",ELEC
44191,NY,"[-73.162067, 40.859886]",ELEC
44192,NY,"[-73.88522, 42.764517]",ELEC
44193,NY,"[-73.88522, 42.764517]",ELEC
44198,NY,"[-73.507761, 40.809865]",ELEC
44201,NY,"[-73.717206, 40.670497]",ELEC
44202,NY,"[-73.717206, 40.670497]",ELEC
44203,NY,"[-73.507761, 40.809865]",ELEC
44204,NY,"[-76.003703, 42.095812]",ELEC
44205,NY,"[-76.003703, 42.095812]",ELEC
44206,NY,"[-73.908392, 41.587383]",ELEC
44207,NY,"[-73.908392, 41.587383]",ELEC
44208,NY,"[-77.478237, 43.204065]",ELEC
44209,NY,"[-77.478237, 43.204065]",ELEC
44212,NY,"[-73.561974, 40.753954]",ELEC
44213,NY,"[-73.561974, 40.753954]",ELEC
44216,NY,"[-78.691132, 42.96275]",ELEC
44218,NY,"[-73.835547, 41.289317]",ELEC
44219,NY,"[-73.835547, 41.289317]",ELEC
44317,NY,"[-73.787334, 42.676971]",ELEC
44318,NY,"[-73.787334, 42.676971]",ELEC
44319,NY,"[-78.797346, 42.979725]",ELEC
44321,NY,"[-76.535879, 42.966894]",ELEC
44323,NY,"[-73.776954, 40.758245]",ELEC
44324,NY,"[-73.776954, 40.758245]",ELEC
44325,NY,"[-73.950866, 41.071072]",ELEC
44326,NY,"[-73.950866, 41.071072]",ELEC
44328,NY,"[-74.019228, 40.636324]",ELEC
44329,NY,"[-73.960707, 40.589167]",ELEC
44330,NY,"[-73.960707, 40.589167]",ELEC
44331,NY,"[-76.114274, 43.147147]",ELEC
44332,NY,"[-76.114274, 43.147147]",ELEC
44333,NY,"[-77.481422, 43.100001]",ELEC
44334,NY,"[-77.481422, 43.100001]",ELEC
44336,NY,"[-73.742699, 40.622268]",ELEC
44337,NY,"[-73.742699, 40.622268]",ELEC
44338,NY,"[-76.5088, 42.435042]",ELEC
44339,NY,"[-76.5088, 42.435042]",ELEC
44342,NY,"[-73.803844, 40.707242]",ELEC
44343,NY,"[-73.803844, 40.707242]",ELEC
44344,NY,"[-74.358103, 43.025044]",ELEC
44345,NY,"[-74.358103, 43.025044]",ELEC
44346,NY,"[-73.630152, 40.71693]",ELEC
44347,NY,"[-73.630152, 40.71693]",ELEC
44348,NY,"[-76.867435, 42.16246]",ELEC
44349,NY,"[-76.867435, 42.16246]",ELEC
44350,NY,"[-73.379693, 40.834455]",ELEC
44351,NY,"[-73.379693, 40.834455]",ELEC
44352,NY,"[-74.032033, 41.948965]",ELEC
44354,NY,"[-78.696197, 43.128557]",ELEC
44355,NY,"[-78.696197, 43.128557]",ELEC
44358,NY,"[-74.413372, 41.40859]",ELEC
44359,NY,"[-74.413372, 41.40859]",ELEC
44360,NY,"[-73.776645, 40.919104]",ELEC
44361,NY,"[-73.776645, 40.919104]",ELEC
47721,NY,"[-73.625869, 40.816267]",ELEC
47722,NY,"[-73.625869, 40.816267]",ELEC
49676,NY,"[-77.73619, 43.216099]",ELEC
49678,NY,"[-73.840117, 40.964447]",ELEC
49679,NY,"[-73.840117, 40.964447]",ELEC
49932,NY,"[-79.253776, 42.115661]",ELEC
49933,NY,"[-79.253776, 42.115661]",ELEC
49938,NY,"[-73.845621, 40.68117]",ELEC
49939,NY,"[-73.845621, 40.68117]",ELEC
49941,NY,"[-77.465214, 43.137476]",ELEC
51095,NY,"[-73.847115, 42.677214]",ELEC
51537,NY,"[-77.443485, 43.100494]",ELEC
52063,NY,"[-72.43726, 41.069942]",ELEC
53442,NY,"[-73.659717, 41.791563]",ELEC
53894,NY,"[-73.383459, 43.456212]",ELEC
53975,NY,"[-77.476722, 43.205714]",ELEC
53976,NY,"[-75.293478, 43.110055]",ELEC
60739,NY,"[-73.649987, 40.719618]",ELEC
61063,NY,"[-77.603915, 43.152697]",ELEC
61065,NY,"[-77.607471, 43.15395]",ELEC
61213,NY,"[-77.606672, 43.256302]",ELEC
61760,NY,"[-77.386788, 43.129935]",ELEC
62307,NY,"[-77.591324, 43.16603]",ELEC
63140,NY,"[-77.801933, 43.191311]",ELEC
63478,NY,"[-78.941072, 43.101378]",ELEC
63479,NY,"[-78.731633, 42.933441]",ELEC
63618,NY,"[-74.379503, 41.237296]",ELEC
63643,NY,"[-78.761212, 42.786617]",ELEC
63982,NY,"[-76.867035, 42.418993]",ELEC
