id,state,coordinates,fuel type
14744,CA,"[-117.7076, 33.615471]",LPG
14747,CA,"[-118.001197, 33.778977]",LPG
14755,CA,"[-119.2785736243286, 36.33042928891792]",LPG
14765,CA,"[-121.131276, 37.475136]",LPG
14777,CA,"[-122.048376, 38.00326]",LPG
14779,CA,"[-123.348474, 39.392957]",LPG
14780,CA,"[-122.629384, 38.236513]",LPG
14810,CA,"[-122.194928, 39.514701]",LPG
15116,CA,"[-118.278709, 33.875777]",LPG
15120,CA,"[-117.875765, 33.865219]",LPG
15130,CA,"[-118.140984, 34.721923]",LPG
15133,CA,"[-119.641645, 37.350869]",LPG
15134,CA,"[-119.783754, 36.696968]",LPG
15139,CA,"[-121.844374, 37.286649]",LPG
15480,CA,"[-122.928227, 40.71896]",LPG
15619,CA,"[-117.833643, 33.726848]",LPG
15997,CA,"[-121.6515856233482, 36.69898308269769]",LPG
16008,CA,"[-119.627095, 36.323778]",LPG
18726,CA,"[-122.054223, 37.636804]",LPG
18784,CA,"[-120.04964, 36.950158]",LPG
20464,CA,"[-118.265792, 33.98873]",LPG
20466,CA,"[-118.15702, 34.022744]",LPG
20471,CA,"[-118.291148, 33.934865]",LPG
20472,CA,"[-118.309261, 34.007712]",LPG
20474,CA,"[-118.317844, 33.902505]",LPG
20475,CA,"[-118.208987, 33.921786]",LPG
20478,CA,"[-118.309614, 33.831062]",LPG
20479,CA,"[-117.994114, 33.931502]",LPG
20480,CA,"[-117.939756, 33.925537]",LPG
20489,CA,"[-118.159075, 34.185844]",LPG
20492,CA,"[-118.255612, 34.129189]",LPG
20493,CA,"[-118.750299, 34.145236]",LPG
20496,CA,"[-118.467553, 34.224858]",LPG
20499,CA,"[-118.3487506925903, 34.21136018967161]",LPG
20500,CA,"[-117.964315, 34.068602]",LPG
20501,CA,"[-117.950079, 34.106326]",LPG
20502,CA,"[-117.56332, 33.874774]",LPG
20503,CA,"[-117.907075, 34.098237]",LPG
20505,CA,"[-118.041255, 34.062553]",LPG
20506,CA,"[-117.91111, 34.007837]",LPG
20508,CA,"[-117.637591, 34.063561]",LPG
20509,CA,"[-117.750613, 34.087045]",LPG
20510,CA,"[-117.775428, 34.061621]",LPG
20511,CA,"[-118.073674, 34.084034]",LPG
20512,CA,"[-117.088151, 32.654061]",LPG
20513,CA,"[-117.039878, 32.72433]",LPG
20518,CA,"[-117.372747, 33.188631]",LPG
20522,CA,"[-117.101581, 32.754719]",LPG
20523,CA,"[-117.136349, 32.895817]",LPG
20525,CA,"[-116.208175, 33.714893]",LPG
20526,CA,"[-116.9808545693106, 33.92549394486177]",LPG
20530,CA,"[-117.016789, 34.898112]",LPG
20534,CA,"[-117.438017, 34.106384]",LPG
20535,CA,"[-116.971235, 33.752466]",LPG
20536,CA,"[-117.208493, 34.068433]",LPG
20540,CA,"[-117.4445, 33.917138]",LPG
20541,CA,"[-117.351057, 33.98873]",LPG
20546,CA,"[-118.001557, 33.77373]",LPG
20550,CA,"[-117.815047, 33.735073]",LPG
20551,CA,"[-117.91116, 33.828214]",LPG
20556,CA,"[-119.177073, 34.171791]",LPG
20557,CA,"[-119.14503, 34.207462]",LPG
20558,CA,"[-119.163497, 34.252121]",LPG
20560,CA,"[-119.77021, 34.439808]",LPG
20564,CA,"[-119.04227, 35.390632]",LPG
20568,CA,"[-118.129499, 34.649171]",LPG
20570,CA,"[-119.495479, 37.060732]",LPG
20573,CA,"[-119.659649, 37.333913]",LPG
20574,CA,"[-119.263226, 36.548498]",LPG
20576,CA,"[-119.757289, 36.735494]",LPG
20577,CA,"[-119.789643, 36.825047]",LPG
20580,CA,"[-122.073276, 37.381255]",LPG
20588,CA,"[-122.264142, 38.235406]",LPG
20590,CA,"[-121.905313, 37.703602]",LPG
20594,CA,"[-122.347453, 37.94772]",LPG
20595,CA,"[-121.946306, 37.268914]",LPG
20599,CA,"[-121.876098, 37.293218]",LPG
20602,CA,"[-121.271676, 37.983403]",LPG
20603,CA,"[-121.2366276243286, 37.93445603022086]",LPG
20605,CA,"[-121.300836, 38.019271]",LPG
20607,CA,"[-121.259876, 38.140011]",LPG
20611,CA,"[-120.320855, 37.960389]",LPG
20612,CA,"[-121.18512, 37.777462]",LPG
20614,CA,"[-120.483328, 37.295859]",LPG
20616,CA,"[-120.994992, 37.633522]",LPG
20621,CA,"[-122.714774, 38.389562]",LPG
