id,state,coordinates,fuel type
13401,NY,"[-74.672938, 41.651953]",LPG
13444,NY,"[-78.85922572883605, 42.8601082048398]",LPG
19234,NY,"[-73.634055, 40.658112]",LPG
19236,NY,"[-73.160001, 40.851029]",LPG
33486,NY,"[-76.6744609, 42.5497889]",LPG
36400,NY,"[-73.558148, 40.780796]",LPG
41110,NY,"[-73.580334, 42.907221]",LPG
41111,NY,"[-73.855453, 42.982234]",LPG
42856,NY,"[-77.65186, 43.120818]",LPG
50098,NY,"[-74.384605, 41.397445]",LPG
51126,NY,"[-74.313151, 41.771445]",LPG
51424,NY,"[-73.462166, 44.033647]",LPG
51427,NY,"[-74.869904, 42.837537]",LPG
51760,NY,"[-78.980875, 43.104675]",LPG
53160,NY,"[-74.050373, 41.466227]",LPG
53161,NY,"[-73.928773, 41.663631]",LPG
60270,NY,"[-76.909097, 42.316373]",LPG
61535,NY,"[-77.57094, 43.239997]",LPG
61542,NY,"[-73.646191, 40.613916]",LPG
67471,NY,"[-76.107338, 43.125565]",LPG
67485,NY,"[-73.675593, 43.297135]",LPG
67491,NY,"[-75.456128, 43.204326]",LPG
67512,NY,"[-73.693527, 42.774228]",LPG
67525,NY,"[-78.696704, 42.923473]",LPG
67536,NY,"[-75.91733, 43.943911]",LPG
67538,NY,"[-78.752089, 42.800131]",LPG
67546,NY,"[-76.124668, 43.051679]",LPG
67552,NY,"[-78.911044, 42.979843]",LPG
67558,NY,"[-75.289786, 43.084039]",LPG
67562,NY,"[-75.981663, 42.095627]",LPG
67563,NY,"[-77.444356, 43.032604]",LPG
67568,NY,"[-73.750972, 42.641484]",LPG
67569,NY,"[-73.867904, 42.749852]",LPG
67571,NY,"[-76.581206, 42.923615]",LPG
67586,NY,"[-75.123441, 44.610911]",LPG
67594,NY,"[-76.833014, 42.15063]",LPG
67609,NY,"[-77.702153, 43.186095]",LPG
67617,NY,"[-77.652374, 43.092951]",LPG
67619,NY,"[-73.498311, 40.743589]",LPG
67625,NY,"[-77.567113, 43.201343]",LPG
67626,NY,"[-76.513925, 42.423865]",LPG
68555,NY,"[-74.786002, 44.98042]",LPG
75105,NY,"[-79.634017, 42.020413]",LPG
75475,NY,"[-72.947099, 40.806551]",LPG
103196,NY,"[-75.9985083263893, 42.1031455784432]",LPG
153669,NY,"[-73.949068, 41.088596]",LPG
187525,NY,"[-73.4223, 42.4311]",LPG
196656,NY,"[-74.794855, 44.976319]",LPG
212252,NY,"[-74.640756, 41.641505]",LPG
