id,state,coordinates,fuel type
1517,CA,"[-118.3879713743439, 34.2483191527193]",ELEC
1519,CA,"[-118.448504, 34.052542]",ELEC
1523,CA,"[-118.271387, 34.040539]",ELEC
1525,CA,"[-118.248589, 34.059133]",ELEC
1531,CA,"[-118.096665, 33.759802]",ELEC
1552,CA,"[-118.265628, 33.770508]",ELEC
1556,CA,"[-118.480505, 34.30309]",ELEC
1572,CA,"[-118.227605, 34.066801]",ELEC
1573,CA,"[-118.368841, 34.036777]",ELEC
1583,CA,"[-118.064, 34.06872]",ELEC
1589,CA,"[-118.236065, 34.039736]",ELEC
6355,CA,"[-117.243, 32.89947]",ELEC
6405,CA,"[-118.468371, 34.221665]",ELEC
6425,CA,"[-117.459053, 33.909914]",ELEC
6505,CA,"[-118.147111, 34.14762]",ELEC
6506,CA,"[-118.152655, 34.145138]",ELEC
6507,CA,"[-118.150133, 34.145119]",ELEC
6509,CA,"[-118.149597, 34.118433]",ELEC
7172,CA,"[-118.192, 33.7637]",ELEC
7184,CA,"[-118.403342, 33.94325]",ELEC
7192,CA,"[-118.554686, 34.2387162]",ELEC
7194,CA,"[-117.575, 34.07122]",ELEC
7195,CA,"[-119.170865, 34.228315]",ELEC
7196,CA,"[-116.543589, 33.824004]",ELEC
7197,CA,"[-121.876172, 37.700187]",ELEC
7206,CA,"[-117.38, 34.0189]",ELEC
7212,CA,"[-121.58889, 38.69005]",ELEC
7229,CA,"[-118.44704, 34.017081]",ELEC
7230,CA,"[-118.49583, 34.010021]",ELEC
7233,CA,"[-118.4389655, 34.1564065]",ELEC
7242,CA,"[-118.35904, 34.138717]",ELEC
7245,CA,"[-118.448346, 34.211366]",ELEC
7250,CA,"[-118.153806, 33.94756]",ELEC
7280,CA,"[-122.4152, 37.80619]",ELEC
7286,CA,"[-121.427045, 38.599693]",ELEC
14744,CA,"[-117.7076, 33.615471]",LPG
14747,CA,"[-118.001197, 33.778977]",LPG
14755,CA,"[-119.2785736243286, 36.33042928891792]",LPG
14765,CA,"[-121.131276, 37.475136]",LPG
14777,CA,"[-122.048376, 38.00326]",LPG
14779,CA,"[-123.348474, 39.392957]",LPG
14780,CA,"[-122.629384, 38.236513]",LPG
14810,CA,"[-122.194928, 39.514701]",LPG
15116,CA,"[-118.278709, 33.875777]",LPG
15120,CA,"[-117.875765, 33.865219]",LPG
15130,CA,"[-118.140984, 34.721923]",LPG
15133,CA,"[-119.641645, 37.350869]",LPG
15134,CA,"[-119.783754, 36.696968]",LPG
15139,CA,"[-121.844374, 37.286649]",LPG
15480,CA,"[-122.928227, 40.71896]",LPG
15619,CA,"[-117.833643, 33.726848]",LPG
15997,CA,"[-121.6515856233482, 36.69898308269769]",LPG
16008,CA,"[-119.627095, 36.323778]",LPG
18726,CA,"[-122.054223, 37.636804]",LPG
18784,CA,"[-120.04964, 36.950158]",LPG
20464,CA,"[-118.265792, 33.98873]",LPG
20466,CA,"[-118.15702, 34.022744]",LPG
20471,CA,"[-118.291148, 33.934865]",LPG
20472,CA,"[-118.309261, 34.007712]",LPG
20474,CA,"[-118.317844, 33.902505]",LPG
20475,CA,"[-118.208987, 33.921786]",LPG
20478,CA,"[-118.309614, 33.831062]",LPG
20479,CA,"[-117.994114, 33.931502]",LPG
20480,CA,"[-117.939756, 33.925537]",LPG
20489,CA,"[-118.159075, 34.185844]",LPG
